TIME_s,VELOCITY_ms,ACCELERATION_mss,ALTITUDE_m
1.09,249.114027721859,86.7936300936665,163.224584692473
1.1,254.457768104825,84.4205502243654,175.528521980021
1.11,257.261077351404,82.0278278541236,170.213031335511
1.12,254.194749054053,79.6967668698477,171.409930674948
1.13,256.780561039623,77.4723511421371,173.223887834683
1.14,256.203621563733,75.3368392595231,168.906835625932
1.15,253.751330503222,73.1785110796845,173.202747261757
1.16,258.96842805683,71.1080716216911,180.958672503723
1.17,259.8694003865,69.021083543223,173.42224076373
1.18,257.839647730711,66.9914291626675,189.084505650056
1.19,261.665911690925,65.0333645138954,183.01823158654
1.2,260.250184791404,63.1099337129392,191.109234382165
1.21,264.43990127758,61.2073067443714,193.646544278046
1.22,262.318294057643,59.3682575193516,193.0780203982
1.23,262.371040948792,57.1120667834473,201.747180093347
1.24,264.006369665351,54.6182792876146,201.154519069563
1.25,260.945689544584,51.9877959339149,192.995756756843
1.26,264.872845210979,49.6274282620646,202.16526960362
1.27,267.038968709277,47.1042621788341,194.271145510942
1.28,265.744352137629,44.6707063805914,207.506878755679
1.29,268.318693470029,42.5385213093269,211.315967354286
1.3,265.58107930596,40.2868366067934,215.536221321102
1.31,268.106350899757,37.9903380794486,218.007579449551
1.32,270.611292594641,36.0283633794156,212.553490081883
1.33,265.966361203998,33.8508954803569,228.845437760852
1.34,263.610837332254,31.9131243673904,236.518185318331
1.35,272.691757321841,29.9061685052811,222.379768112041
1.36,268.691927925181,28.0364707763674,233.208544363777
1.37,268.397350970317,26.1834031821754,222.848314580141
1.38,267.35471043914,24.303870138563,242.221331606199
1.39,267.954087226339,22.8138909794325,236.658508653907
1.4,267.868998602952,24.1945683730687,232.44134474638
1.41,271.048979790107,25.1599809117313,253.200089118164
1.42,268.193530443269,26.3389260264734,245.763065399957
1.43,274.052807794036,27.5620844031894,254.224609040354
1.44,266.564123893634,28.5351994684812,251.186489800334
1.45,268.374349642289,29.7520298459245,253.92413103642
